equipo,temporada,day,local_code,oponente,resultado_code,score,goals_for,goals_against,mes,mes_num,team_academic_rank,home_advantage,opponent_quality,local_visitante
Fullerton,2023-2024,24,at,Irvine Valley,W,3-2,3,2,October,10,41,0,0.5,Visitante
Fullerton,2023-2024,27,vs,Santa Ana,W,3-0,3,0,October,10,41,1,0.5,Local
Fullerton,2023-2024,31,at,Saddleback,T,1-1,1,1,October,10,41,0,0.5,Visitante
Fullerton,2023-2024,3,vs,Santiago Canyon,W,3-0,3,0,November,11,41,1,0.5,Local
Fullerton,2023-2024,7,at,Cypress,L,2-1,2,1,November,11,41,0,0.5,Visitante
Fullerton,2023-2024,9,vs,Golden West,W,4-1,4,1,November,11,41,1,0.5,Local
Fullerton,2023-2024,18,vs,Santa Barbara,L,8-7,8,7,November,11,41,1,0.5,Local
Fullerton,2022-2023,30,vs,Bakersfield,L,2-1,2,1,August,8,41,1,0.5,Local
Fullerton,2022-2023,2,vs,Desert,L,2-1,2,1,September,9,41,1,0.5,Local
Fullerton,2022-2023,4,vs,Lake Tahoe,W,1-0,1,0,September,9,41,1,0.5,Local
Fullerton,2022-2023,7,vs,Chaffey,L,3-1,3,1,September,9,41,1,0.5,Local
Fullerton,2022-2023,8,at,Cañada,W,2-1,2,1,September,9,41,0,0.5,Visitante
Fullerton,2022-2023,10,at,Santa Rosa,W,2-0,2,0,September,9,41,0,0.5,Visitante
Fullerton,2022-2023,13,vs,Oxnard,T,1-1,1,1,September,9,41,1,0.5,Local
Fullerton,2022-2023,20,at,Fresno City,W,1-0,1,0,September,9,41,0,0.5,Visitante
Fullerton,2022-2023,23,at,Cuyamaca,T,2-2,2,2,September,9,41,0,0.5,Visitante
Fullerton,2022-2023,27,vs,Cypress,L,1-0,1,0,September,9,41,1,0.5,Local
Fullerton,2022-2023,30,at,Santiago Canyon,W,7-1,7,1,September,9,41,0,0.5,Visitante
Fullerton,2022-2023,4,at,Golden West,W,2-0,2,0,October,10,41,0,0.5,Visitante
Fullerton,2022-2023,14,vs,Irvine Valley,T,0-0,0,0,October,10,41,1,0.5,Local
Fullerton,2022-2023,17,at,Orange Coast,W,5-0,5,0,October,10,41,0,0.5,Visitante
Fullerton,2022-2023,18,vs,Santa Ana,W,3-0,3,0,October,10,41,1,0.5,Local
Fullerton,2022-2023,21,at,Cypress,T,1-1,1,1,October,10,41,0,0.5,Visitante
Fullerton,2022-2023,25,vs,Santiago Canyon,W,3-1,3,1,October,10,41,1,0.5,Local
Fullerton,2022-2023,28,vs,Golden West,W,2-1,2,1,October,10,41,1,0.5,Local
Fullerton,2022-2023,4,vs,Orange Coast,W,4-0,4,0,November,11,41,1,0.5,Local
Fullerton,2022-2023,8,at,Irvine Valley,W,2-0,2,0,November,11,41,0,0.5,Visitante
Fullerton,2022-2023,10,at,Santa Ana,W,2-0,2,0,November,11,41,0,0.5,Visitante
Fullerton,2022-2023,19,vs,Cuyamaca,W,2-1,2,1,November,11,41,1,0.5,Local
Fullerton,2022-2023,22,vs,Long Beach,W,2-1,2,1,November,11,41,1,0.5,Local
Fullerton,2022-2023,26,at,Oxnard,L,2-1,2,1,November,11,41,0,0.5,Visitante
Fullerton,2021-2022,27,at,Oxnard,W,3-1,3,1,August,8,41,0,0.5,Visitante
Fullerton,2021-2022,31,at,Bakersfield,W,4-0,4,0,August,8,41,0,0.5,Visitante
Fullerton,2021-2022,3,vs,Dallas College Richland,L,2-0,2,0,September,9,41,1,0.5,Local
Fullerton,2021-2022,5,vs,Lake Tahoe,W,5-0,5,0,September,9,41,1,0.5,Local
Fullerton,2021-2022,8,at,Chaffey,L,2-1,2,1,September,9,41,0,0.5,Visitante
Fullerton,2021-2022,16,at,Cañada,W,3-1,3,1,September,9,41,0,0.5,Visitante
Fullerton,2021-2022,18,at,Santa Rosa,T,0-0,0,0,September,9,41,0,0.5,Visitante
Fullerton,2021-2022,21,vs,Cuyamaca,W,1-0,1,0,September,9,41,1,0.5,Local
Fullerton,2021-2022,24,vs,Compton,W,3-0,3,0,September,9,41,1,0.5,Local
Fullerton,2021-2022,28,at,Golden West,L,1-0,1,0,September,9,41,0,0.5,Visitante
Fullerton,2021-2022,1,vs,Santa Ana,L,4-2,4,2,October,10,41,1,0.5,Local
Fullerton,2021-2022,5,at,Orange Coast,W,4-0,4,0,October,10,41,0,0.5,Visitante
Fullerton,2021-2022,8,vs,Irvine Valley,L,1-0,1,0,October,10,41,1,0.5,Local
Fullerton,2021-2022,12,at,Santiago Canyon,W,2-0,2,0,October,10,41,0,0.5,Visitante
Fullerton,2021-2022,19,vs,Cypress,T,0-0,0,0,October,10,41,1,0.5,Local
Fullerton,2021-2022,22,vs,Golden West,T,2-2,2,2,October,10,41,1,0.5,Local
Fullerton,2021-2022,26,at,Santa Ana,T,3-3,3,3,October,10,41,0,0.5,Visitante
Fullerton,2021-2022,29,vs,Orange Coast,T,1-1,1,1,October,10,41,1,0.5,Local
Fullerton,2021-2022,2,at,Irvine Valley,W,5-0,5,0,November,11,41,0,0.5,Visitante
Fullerton,2021-2022,5,vs,Santiago Canyon,T,3-3,3,3,November,11,41,1,0.5,Local
Fullerton,2021-2022,12,at,Cypress,L,1-0,1,0,November,11,41,0,0.5,Visitante
Fullerton,2021-2022,20,vs,Antelope Valley,W,4-0,4,0,November,11,41,1,0.5,Local
Fullerton,2021-2022,23,at,Golden West,T,0-0,0,0,November,11,41,0,0.5,Visitante
Fullerton,2021-2022,29,at,Chaffey,L,6-3,6,3,November,11,41,0,0.5,Visitante
Fullerton,2021-2022,2,vs,Long Beach,L,2-1,2,1,December,12,41,1,0.5,Local
Fullerton,2021-2022,5,at,Cuyamaca,L,1-0,1,0,December,12,41,0,0.5,Visitante
Fullerton,2021-2022,9,at,Norco,L,4-3,4,3,December,12,41,0,0.5,Visitante
Fullerton,2021-2022,16,vs,San Bernardino Valley,T,3-3,3,3,December,12,41,1,0.5,Local
Fullerton,2021-2022,19,vs,San Diego Mesa,W,5-1,5,1,December,12,41,1,0.5,Local
Fullerton,2021-2022,26,vs,Los Angeles City,T,2-2,2,2,December,12,41,1,0.5,Local
Fullerton,2021-2022,30,at,Fullerton,L,1-0,1,0,December,12,41,0,0.5,Visitante
Fullerton,2021-2022,3,vs,Golden West,L,1-0,1,0,December,12,41,1,0.5,Local
Fullerton,2021-2022,7,at,Irvine Valley,L,4-1,4,1,December,12,41,0,0.5,Visitante
Fullerton,2021-2022,10,vs,Santiago Canyon,T,0-0,0,0,December,12,41,1,0.5,Local
Fullerton,2021-2022,14,at,Orange Coast,T,1-1,1,1,December,12,41,0,0.5,Visitante
Fullerton,2021-2022,17,vs,Saddleback,T,3-3,3,3,December,12,41,1,0.5,Local
Fullerton,2021-2022,21,vs,Cypress,T,0-0,0,0,December,12,41,1,0.5,Local
Fullerton,2021-2022,24,vs,Fullerton,L,2-0,2,0,December,12,41,1,0.5,Local
Fullerton,2021-2022,28,at,Golden West,W,1-0,1,0,December,12,41,0,0.5,Visitante
Fullerton,2021-2022,31,vs,Irvine Valley,W,2-1,2,1,December,12,41,1,0.5,Local
Fullerton,2021-2022,4,at,Santiago Canyon,T,1-1,1,1,December,12,41,0,0.5,Visitante
Fullerton,2021-2022,7,vs,Orange Coast,L,5-1,5,1,December,12,41,1,0.5,Local
Fullerton,2021-2022,12,at,Saddleback,L,3-1,3,1,December,12,41,0,0.5,Visitante
Fullerton,2021-2022,14,at,Cypress,L,3-0,3,0,December,12,41,0,0.5,Visitante
Santa Ana,2024-2025,27,vs,LA Mission,L,2-1,2,1,August,8,71,1,0.5,Local
Santa Ana,2024-2025,30,vs,Desert,L,3-0,3,0,August,8,71,1,0.5,Local
Santa Ana,2024-2025,3,vs,Cuyamaca,T,2-2,2,2,September,9,71,1,0.5,Local
Santa Ana,2024-2025,6,vs,Chaffey,W,2-1,2,1,September,9,71,1,0.5,Local
Santa Ana,2024-2025,10,at,Long Beach,L,4-2,4,2,September,9,71,0,0.5,Visitante
Santa Ana,2024-2025,20,at,San Diego Mesa,W,2-1,2,1,September,9,71,0,0.5,Visitante
Santa Ana,2024-2025,1,at,Santiago Canyon,W,4-0,4,0,October,10,71,0,0.5,Visitante
Santa Ana,2024-2025,4,vs,Irvine Valley,T,2-2,2,2,October,10,71,1,0.5,Local
Santa Ana,2024-2025,8,at,Orange Coast,W,3-1,3,1,October,10,71,0,0.5,Visitante
Santa Ana,2024-2025,11,vs,Golden West,W,2-0,2,0,October,10,71,1,0.5,Local
Santa Ana,2024-2025,15,vs,Fullerton,L,2-0,2,0,October,10,71,1,0.5,Local
Santa Ana,2024-2025,18,at,Saddleback,L,1-0,1,0,October,10,71,0,0.5,Visitante
Santa Ana,2024-2025,22,at,Cypress,T,0-0,0,0,October,10,71,0,0.5,Visitante
